,0
39," Cholinga chake ndi kupatsa mphamvu anthu a m’dera la GVH Chanika kupanga chiganizo ndi kutenga udindo komanso kupititsa patsogolo umodzi pa chitetezo, chisamaliro ndi kugwiritsa ntchito mosamala zinthu zonse zochokera m’nkhalango ya mu Buloko ya Chanika kuti adzapezenso zina mtsogolo"
40,Izi ndi zogwirizana ndi mfundo ya zankhalango ya boma laMalawi imene idakhazikitsidwa m’chaka cha 1996
41,Mfundoyi imanenetsa za kufunika kopatsaeni dera udindo waukulu wosamalira nkhalango ndi kukhala ndi mwayi womagwiritsa ntchito mitengo ndi zonse za m’nkhalangomo
42,"Ndondomeko yokonzekera, kudziwitsana ndi kufunsira, komanso kukambirana pachikonzero chosamalira nkhalangoyi idavomerezedwa ndi anthu onse okhudzidwa m’derali"
43,"Ntchito yonseyi anthu amatengapo mbali ndi cholinga chokhazikitsa kusabisirana pa zochitika zonse, kuti chikonzekero chikhale chofuna anthu komanso kuti onse akalandire maudindo mosaona kuti ndi mkazi kapena mwamuna"
44,Ndondomekoyi imakhazikitsa malamulo oyenera ku anthu a derali ndiponso malamulo amene ndi osavuta kutsatira kuti athandize pa chitetezo ndi chisamaliro cha ntchito yoona za nkhalango m’dera la Chanika komanso kuti pakhale phindu la lero ndiponso la mtsogolo
45,Kuteteza nthaka yonse yozungulira imene ndi gwero la mitsinje komanso imene imapereka madzi
46,Kuti pakhale chisamaliro chokwana pa udzu ndi msipu wosiyanasiyana umene umamera m’mphepete mwa mitsinje
47,Kutukula miyoyo ya anthu okhala mwa GVH Chanika popeza zinthu zogulitsa zochokera m’nkhalango
48,Kuti anthu azipanga zinthu zooneka bwino pogwiritsa ntchito mitengo ndi zina zochokera m’nkhalango
49,Kuteteza udzu ndi zomera zobiriwira za m’mphepete mwa timitsinje ndi cholinga chofuna kuti madzi aziyenda chaka chonse kuti anthu azigwiritsa ntchito pa ulimi wa mthirira ndi ntchito zina za makomo
50,Kuteteza kukokoloka kwa nthaka imene ili malo ozyolika [opendekeka kwambiri]
51,Kulimbikitsa chitetezo ndi chisamaliro cha nyama za m’tchire ndi maluwa a m’thengo
52,Kupititsa patsogolo ntchito yotulutsa zinthu zabwino zochokera m’nkhalango kuti anthu azigwiritsa ntchito m’makomo ndi zina zokagulitsa
53,Kuteteza mitengo ndi nthaka ku madera onse amene ndi magwero a mitsinje kuzungulira derali
54,Kuteteza za chilengedwe zimene zili mphepete mwa mitsinje
55,Kugulitsa zina mwa zinthu zochokera m’nkhalango mwadongotsolo ncholinga chotukula miyoyo ya anthu
56,Kupezeka kwa ndalama m’makomo zochokera m’nkhalango
57,Kuchuluka kwa mitengo mphepete mwa mitsinje
58,Kukula kwa dera lopanda chitetezo ndi kukula kwa malo amene ndi gwero la mitsinje kuzungulira derali
59,Kulemba zokambirana pa nthawi ya misonkhano uliwonse (maminitsi)
60,Kulemba makalata oitana anthu pakafunika misonkhano
61,Kuwerenga maminitsi a mfundo zonse za msonkhano umene udachitika m’mbuyo mwa msonkhano
62,umene ukufuna kuchitikawo
63,Kukhala m’modzi wa osainira pakakhala zinthu zofunika kutapa ndalama ku banki
64,Kulondoloza ndi kulinganiza zimene Msungi chuma akulemba
65,Kulemba ndi kusunga zolembedwa za katundu yense wa gululi
66,Akhale wodziwa kulemba ndi kuwerenga
67,Akhale wachidwi ndi ntchito zankhalango
68,Akhale wochokera mwa a GVH Chanika
69,Akhale osamangidwapo
