Word,Frequency
yathu,116
bizinesi,116
miyoyo,116
usiku,115
loona,115
wakhala,115
chiwerengero,114
oti,114
nkhanza,114
umboni,114
kupanga,114
lonse,114
eni,114
ntcheu,114
i,113
chimodzi,113
koloko,112
mchitidwe,112
ayenera,112
tsono,112
united,111
loti,111
ofesi,110
kapito,110
kenako,110
yabwino,110
mwachitsanzo,110
motere,110
joseph,110
awa,110
joyce,110
kampeni,109
anyamata,108
ophunzira,108
msangulutso,108
adacheza,108
senior,108
kunja,108
mpata,108
electoral,108
kubwalo,108
adakana,107
chilungamo,107
kulandira,107
polankhula,107
nkhaniyo,107
potengera,106
feteleza,106
idati,106
kwathu,106
zitatu,105
mpira,105
msanga,105
iwe,105
mzimba,105
kutsatira,104
langa,104
mtsikana,104
patsiku,104
kupolisi,103
mchigawo,103
wapolisi,103
bingu,103
john,103
kumpoto,102
kuona,102
chilango,102
mmbuyomu,102
adanena,102
karonga,102
liti,102
nkhuku,102
ndani,102
bwenzi,102
ndikufuna,102
atha,102
mangochi,101
george,100
that,100
chili,100
nkhondo,100
pamenepa,99
mavenda,99
ndondomekoyi,99
msika,99
kukambirana,99
gulupu,98
zimakhala,98
lati,98
zikuchitika,98
yaitali,98
zambia,98
nchiyani,98
muluzi,98
kumbali,97
anzanga,97
adatinso,97
imeneyi,97
adapeza,96
mafumuwa,96
on,96
neno,96
mpingo,96
tikufuna,96
ochepa,96
umodzi,95
chisoni,95
mmawa,95
atolankhani,95
lapitali,94
ulamuliro,94
aja,94
alipo,94
nkhata,94
kuthandiza,94
amachokera,94
kulowa,94
anayi,94
undunawu,93
kufikira,92
wanu,92
flames,92
masewero,92
zikomo,92
atsikana,92
munthali,92
mpando,91
zingapo,91
kumva,91
mnzake,91
padakalipano,91
ndiyo,91
moya,91
college,90
panthawi,90
zidali,90
wakale,90
yoona,90
akadaulo,89
centre,89
tsogolo,89
agogo,89
ano,89
kondowe,89
kupha,89
mfumuyi,89
mutu,89
oposa,89
akatswiri,89
mwawo,89
bungwelo,88
association,88
phindu,88
kasungu,88
mchitidwewu,88
adapita,88
kundende,88
ulimiwu,87
mzinda,87
choyamba,87
kuphatikizapo,87
kutero,87
inde,87
potsatira,87
padali,87
tonse,87
mfumuyo,87
angapo,86
july,86
ino,86
ofuna,86
kukonza,86
pasukulu,86
udali,86
thumba,86
pete,86
zaulimi,85
pachisankho,84
ayambe,84
yambiri,84
kuthana,84
lachisanu,83
vutoli,83
thyolo,83
umoyo,83
matumba,83
chinsinga,83
pac,82
zamalimidwe,82
achewa,82
pantchito,82
june,82
panthawiyo,81
chidali,81
odwala,81
mimba,81
andale,81
adakumana,81
maka,81
kulibe,81
chikwawa,80
komweko,80
mabanja,80
mma,80
kabango,80
zitupa,80
kubwera,80
ndemanga,79
national,79
popeza,79
adapereka,79
mwini,79
adaonjeza,79
akugwira,79
henry,79
adagwirizana,79
adafotokoza,79
lidali,78
nsomba,78
amagwira,78
asanu,78
pamalo,78
mayiyo,78
kuchotsa,78
balaka,78
chikalata,78
kuyamba,78
kugulitsa,78
nzika,78
dr,77
uyu,77
ngakhalenso,77
gule,77
bay,77
salima,77
ngongole,77
amalandira,76
akazi,76
dausi,76
yonse,76
congress,76
kuposa,76
umene,76
yekha,76
makampani,76
pampando,76
development,76
yemwenso,76
adamwalira,76
dc,75
amenewa,75
zapitazo,75
pamsewu,75
kukwera,75
november,75
mthirira,75
makilogalamu,75
lathu,75
komatu,75
chancellor,75
chamba,75
adafunsa,74
pamtengo,74
kuyenda,74
mtendere,74
pankhaniyi,74
ogula,74
idatero,74
akudziwa,74
mavutowa,74
tanzania,74
lipoti,74
mtambo,73
nkhotakota,73
zokwana,73
ulemu,73
edzi,73
democratic,73
escom,73
nzeru,73
pangono,73
zotere,73
limene,73
osewera,73
iwiri,73
msukulu,72
chigamulo,72
kutenga,72
network,72
anu,72
kummwera,72
kadaulo,72
mkaundula,72
nyakwawa,72
woyanganira,72
khonsolo,72
makhansala,72
kachilombo,72
zovuta,72
mmunda,71
chonchi,71
chinangwa,71
chaponda,71
kugwiritsa,71
ochuluka,71
chikhalidwe,71
chirwa,71
otsatira,71
mowa,71
mavoti,71
mbuzi,71
october,71
august,71
mmaiko,70
area,70
pabanja,70
hiv,70
poyera,70
mmidzi,70
kaliati,70
kanduku,70
chonde,70
december,70
pake,69
ndakhala,69
akukhala,69
mmbuyo,69
nditani,69
khalidwe,69
zokhudza,69
rumphi,69
mzipatala,69
have,69
with,69
pamodzi,69
apeze,69
akunja,69
mchinji,69
mafunso,69
dera,69
january,69
march,69
madandaulo,68
mbomali,68
pafupi,68
ukachenjede,68
zisanu,68
ochokera,68
hrdc,68
chikhulupiriro,68
ndalamazo,68
manja,68
zotsika,68
april,68
zakhala,68
adatsimikiza,68
chinthu,67
kasambara,67
lamuloli,67
voti,67
zochitika,66
wabwino,66
ziwalo,66
zakudya,66
pachiopsezo,66
ndime,66
kalekale,66
zidachitika,66
zimachitika,66
anzake,66
zifukwa,66
zabwino,66
ija,65
matimu,65
amatha,65
polingalira,65
miyambo,65
kukhoti,65
nchoti,65
kudya,65
mtedza,65
khoti,65
luso,65
jumbe,65
nacho,65
nyirenda,64
kachali,64
madzulo,64
koyamba,63
aboma,63
ndidayamba,63
adafika,63
matani,63
zonsezi,63
chathu,63
kayendetsedwe,63
kutanthauza,63
zamaphunziro,63
fetereza,62
zofuna,62
kudziwa,62
dowa,62
anawo,62
zimenezo,62
kumanga,62
likuyenera,62
umphawi,62
february,61
wonse,61
uno,61
mapeto,61
mkaziyo,61
kusonyeza,61
pokhapokha,61
uwu,61
yankho,61
akumudzi,60
masamba,60
hussein,60
imeneyo,60
mkuluyo,60
cholamula,60
adalongosola,60
kumakhala,60
ochita,60
magulu,60
bank,60
apite,60
amakonda,60
pathupi,60
iyeyo,60
dzulo,59
september,59
mchipani,59
msonkhanowo,59
lamulungu,59
zandale,59
kulankhula,59
peoples,59
awiriwo,59
nkhumba,59
khansa,59
watsimikiza,59
ziphuphu,59
yanga,59
mbale,58
padziko,58
adapezeka,58
nankhumwa,58
said,58
stadium,58
loyendetsa,58
adabwera,58
mtsogolo,58
sekondale,58
mussa,58
loweruka,58
misika,58
kulembetsa,58
ubwino,58
mbewuyi,58
pakutha,57
mwamunayo,57
chigawo,57
machinga,57
posachedwapa,57
union,57
ndidali,57
mudali,57
tembo,57
chunga,57
pogwiritsa,57
zokambirana,57
mkandawire,57
achita,57
demokalase,57
wanderers,57
msewu,57
kuimba,57
khumbo,57
tsikulo,57
adziwe,56
manda,56
education,56
zipatala,56
zipolowe,56
maudindo,56
wochokera,56
motero,56
chitipa,56
charles,56
zokolola,56
padakali,56
steven,56
zoyenera,56
malipoti,56
adatenga,55
alendo,55
misewu,55
shuga,55
okhudzidwa,55
kugwa,55
pamsika,55
timuyi,55
kulima,55
james,55
world,55
umenewu,55
chokwanira,54
bola,54
kutha,54
ameneyo,54
moses,54
phalombe,54
msonda,54
ngamba,54
who,54
mosavuta,54
alandira,54
kusamala,54
are,54
kukwaniritsa,54
anzawo,54
ndizo,54
mbusa,54
lapansi,53
nthendayi,53
kusiya,53
akunena,53
zikutanthauza,53
kalonga,53
kuteteza,53
ntchitoyo,53
amadziwa,53
mnjira,53
lanu,53
jane,53
lakuti,53
human,53
kuonjezera,53
mpofunika,53
uliwonse,53
will,53
zikhoza,53
pandale,53
mauthenga,53
nandolo,53
chimbale,53
kenaka,53
kuchepetsa,53
society,52
pambuyo,52
rights,52
chimwemwe,52
pomwepo,52
kwacha,52
ntchisi,52
mokwanira,52
maalubino,52
nako,52
mthupi,52
mnyamatayu,52
lamya,52
woyendetsa,52
alionse,52
health,52
nyumbayo,52
mphepo,52
wafika,52
zidachititsa,52
zikuoneka,52
takhala,52
bamboyo,52
kugawa,52
asungwana,52
udayamba,52
zochita,51
asinganga,51
akusowa,51
kutukula,51
zida,51
mderalo,51
wofuna,51
kumapeto,51
dongosolo,51
ziphaso,51
chinkhoswe,51
chichewa,51
this,50
zinayi,50
mlanduwo,50
paja,50
chiletso,50
imakhala,50
be,50
anawa,50
zizindikiro,50
it,50
unzika,50
ken,50
kadadzera,50
wailesi,50
chakuti,50
bajeti,50
kusankha,50
mhango,50
chonsecho,50
international,49
kuonetsa,49
katangale,49
masana,49
yokhudza,49
patsikulo,49
azikhala,49
mudzi,49
kuchipani,49
zilili,49
manyowa,49
kwenikweni,49
nawonso,49
adaona,49
chabwino,49
kuika,49
dzuwa,49
msowoya,49
woona,49
munda,49
gift,48
misonkhano,48
we,48
okhudza,48
atupele,48
kulemba,48
wachikondi,48
woyamba,48
committee,48
nthaka,48
zochuluka,48
zikusonyeza,48
okhala,48
adalandira,48
he,48
sikuti,48
pakhale,48
izitu,48
malunga,48
mpakana,48
kuphedwa,48
mbatata,48
was,48
pakalipano,48
kukumana,48
kuboma,48
yoyamba,48
akukumana,47
fam,47
ameneyu,47
mgulu,47
wako,47
izo,47
not,47
lidati,47
mwapasa,47
chimbudzi,47
mmalawi,47
pachibwenzi,47
zigoli,47
opanda,47
mulibe,47
mpungwepungwe,47
kalemberayu,47
as,47
adalonjeza,47
yokha,47
abwere,47
iyo,47
chisankhocho,46
pati,46
kunkuyu,46
pamoyo,46
minibasi,46
kusunga,46
mtunda,46
zipatso,46
bomali,46
ubwenzi,46
mmisika,46
kwataine,46
chimodzimodzi,46
akukhudzidwa,46
nicholas,46
woyera,46
progressive,46
chitsanzo,46
loyamba,46
nalo,46
zikuluzikulu,46
angonoangono,45
kawiri,45
otere,45
mmizinda,45
midzi,45
tidali,45
anatchezera,45
kalatayo,45
zathu,45
mafumuwo,45
zokha,45
kufuna,45
paliponse,45
zotsutsa,45
anzathu,45
cama,45
apereke,45
kupewa,45
zenizeni,45
maganga,45
grace,45
dziwani,45
mlingo,45
kubzala,45
silver,45
apatu,45
zokwanira,45
akakhala,44
anali,44
mwale,44
fomu,44
wakeyo,44
wolakwa,44
chofunika,44
public,44
theka,44
khansala,44
kumsika,44
university,44
mumzindawu,44
amadalira,44
they,44
kudera,44
ubale,44
chenicheni,44
oyendetsera,44
pamakhala,44
padalibe,44
pafoni,44
atafika,43
utsogoleri,43
watha,43
you,43
kudikira,43
lazarus,43
pembamoyo,43
adona,43
malangizo,43
pakadalipano,43
kuonetsetsa,43
mzaka,43
mtsogoleriyu,43
akuyenda,43
tiyeni,43
mowawu,43
ovutika,43
amabungwe,43
sipikala,43
ndithandizeni,43
nthenda,43
yanu,42
sakufuna,42
chinyengo,42
dala,42
okhaokha,42
sabuside,42
all,42
kutuluka,42
makina,42
adakhala,42
oterewa,42
zofunika,42
adavomera,42
nkhalango,42
fizi,42
mminda,42
chochita,42
belo,42
pachipatala,42
zovala,42
gomani,42
akulandira,42
msonkho,42
mwachangu,42
akulu,42
poyerekeza,42
adachoka,42
zikuyendera,42
coalition,42
kuntchito,42
kumwera,42
mwadzidzidzi,42
kuopa,41
mogwirizana,41
zachitukuko,41
banki,41
zanga,41
ndanga,41
mitundu,41
sindikudziwa,41
ataona,41
pomuganizira,41
wayamba,41
bata,41
yakale,41
apapa,41
kuchepa,41
chithandizo,41
ufa,41
uko,41
afika,41
pamwezi,41
kuba,41
adavomereza,41
shire,41
amakumana,41
amapereka,41
chiyembekeza,41
kupanda,40
adalankhula,40
aliwonse,40
zoposa,40
chikuchitika,40
akutero,40
nkofunika,40
amaona,40
achite,40
chisankhochi,40
mwanayu,40
zionetserozo,40
lenileni,40
central,40
pamalopo,40
ziwawa,40
inetu,40
has,40
idayamba,40
lomwelo,40
mwati,40
pajatu,40
adaphedwa,40
kumwa,40
acb,40
alangizi,40
hilida,40
onsewa,39
apempha,39
gervazzio,39
civil,39
amagwiritsa,39
yayamba,39
kulimbikitsa,39
kabunduli,39
mughogho,39
galu,39
pokhala,39
saulos,39
yochepa,39
masomphenya,39
malata,39
makilomita,39
ndiko,39
chilolezo,39
kukonzekera,39
chonse,39
akadali,39
from,39
ndalamazi,39
kukakhala,39
nkhoma,39
pamenepo,39
ogulitsa,39
kalelo,39
pambali,39
kumbuyo,39
mmanda,39
umakhala,39
chiphaso,39
court,39
wachita,39
apitawa,39
nyemba,39
aakulu,39
chiopsezo,39
kulira,39
my,38
jere,38
young,38
but,38
zimbabwe,38
enanso,38
zidayamba,38
kumalo,38
pologalamu,38
tizilombo,38
wochuluka,38
bwana,38
mzigawo,38
kukolola,38
yomweyo,38
wambiri,38
nation,38
zochepa,38
richard,38
lakhala,38
ineyo,38
moyenera,38
ndife,38
kukula,38
kaponda,38
dzonzi,38
tikudziwa,38
mayendedwe,38
kutengera,38
kubweretsa,38
pamsonkhano,38
wogwira,38
nkhono,38
nkuyamba,38
kulipira,38
amenewo,38
kulikulu,38
powaganizira,38
kulikonse,38
chomwechi,38
mpendadzuwa,38
adadabwa,38
chilengedwe,38
misonkho,37
nations,37
alandire,37
asilikali,37
akuona,37
amodzi,37
malamulowo,37
kutulutsa,37
zija,37
osauka,37
nthawiyo,37
inkosi,37
yesu,37
sakudziwa,37
chikulamayembe,37
nkhope,37
mipando,37
abwino,37
nigeria,37
zikuyenda,37
billy,37
katswiriyu,37
udzu,37
mbewe,37
tilibe,37
simenti,37
ululu,37
ndikudziwa,37
ndilo,37
kwina,37
funso,37
moyale,37
angathe,37
mndende,37
nkutheka,37
kucheza,37
ufiti,37
malire,36
mgawo,36
kanyongolo,36
zachitika,36
akaona,36
mayiyu,36
kuchigawo,36
zikalata,36
zachititsa,36
kuchititsa,36
konse,36
weniweni,36
popanga,36
posakhalitsa,36
zokhoma,36
wamthirira,36
gulewamkulu,36
pangonopangono,36
pogwira,36
ndidaona,36
mapemphero,36
chimenechi,36
njinga,36
nzoona,36
malemu,36
mtolankhani,36
zikhulupiriro,36
kuunika,36
mfuti,36
paul,36
mmaso,36
namwaliyu,36
chamawa,36
felix,36
bwalolo,36
akudandaula,35
nokha,35
sizili,35
chilipo,35
ofunika,35
wauza,35
chipongwe,35
ndirande,35
kuchuluka,35
pulaimale,35
lidayamba,35
limbe,35
popereka,35
kubadwa,35
duwa,35
akuvutika,35
pamoto,35
itatu,35
adasankha,35
mwambowu,35
kuthetsa,35
phunziro,35
maufulu,35
kuofesi,35
chofuna,35
angoni,35
nkhokwe,35
kilogalamu,35
kachindamoto,35
nthumwi,35
kuphunzitsa,35
mpamene,35
kumangidwa,35
akhudzidwa,35
ngoma,35
oimba,35
lamilandu,35
kaunda,34
fulatira,34
khutu,34
amfumu,34
aganyu,34
mdzikolo,34
zitukuko,34
kubungwe,34
zotani,34
akuoneka,34
nthache,34
justice,34
trust,34
yathayi,34
chapakati,34
oyendetsa,34
affairs,34
kampaniyi,34
civo,34
adalowa,34
ulangizi,34
gawa,34
manifesito,34
undi,34
chimakhala,34
nkomwe,34
ganizoli,34
nyuzipepala,34
akuganiza,34
mlanduwu,34
kumunda,34
katatu,34
ndende,34
kukweza,34
kugona,34
yakhala,34
msungwana,34
mnyamatayo,34
aphunguwo,34
ccap,34
akupanga,34
akulira,34
amathandiza,34
chikalatacho,34
polankhulapo,34
mtauni,33
ndiponso,33
fisi,33
achipatala,33
ndege,33
big,33
mazira,33
dothi,33
inuyo,33
bureau,33
payekha,33
kuchitika,33
adzakhala,33
posakhalitsapa,33
kudzanso,33
kumayambiriro,33
paokha,33
chikho,33
zibwenzi,33
mphekesera,33
dizilo,33
kulephera,33
zamalamulo,33
achialubino,33
adandiuza,33
pamlandu,33
malemia,33
timakhala,33
akukana,33
wapeza,33
atule,33
mlangizi,33
petulo,33
makala,33
kondwani,33
mmudzimo,33
pakufunika,32
kutsogolo,32
bobby,32
osefukira,32
sitikudziwa,32
ikuti,32
malingaliro,32
mpomwe,32
pabwalo,32
chidachitika,32
kukakamiza,32
mnyumbamo,32
jobe,32
christopher,32
tnm,32
ncholinga,32
alubino,32
amagulitsa,32
mnzanga,32
nice,32
zipangizozi,32
adakonza,32
ikhala,32
apolisiwo,32
motani,32
alimiwa,32
paramount,32
kupezeka,32
mtsinje,32
tikuyenera,32
tsabola,32
mwafulirwa,32
sitalaka,32
madotolo,32
khanda,32
wotere,32
singanga,32
loyanganira,32
ikhale,32
adanenetsa,32
kasunda,32
amayembekezera,32
adamanga,32
patatha,32
mtsikanayo,32
okwana,32
agriculture,32
mayankho,32
utsi,32
akuyembekezera,32
zilango,31
kamodzi,31
kukhazikitsa,31
akufunika,31
pulogalamu,31
zoterezi,31
mochedwa,31
adalibe,31
mdulidwe,31
magemu,31
aangono,31
kupempha,31
kumanda,31
bomalo,31
adangoti,31
kutentha,31
adadzudzula,31
wanji,31
aka,31
mndondomeko,31
nyanja,31
pamwambo,31
amve,31
timati,31
achimwene,31
zakunja,31
azitha,31
chitupa,31
malungo,31
maulendo,31
poona,31
limenelo,31
mafupa,31
nyondo,31
farmers,31
chimangacho,31
manyazi,31
likufuna,31
wachipani,31
oyanganira,31
mmimba,31
iyeyu,31
lokha,31
yatsopano,31
pocheza,31
malowa,31
gululi,31
mchakachi,31
bwezi,31
akugulitsa,31
woimira,31
ankhoswe,31
kumaiko,31
patricia,31
minda,31
munthuyo,30
timayenera,30
kusewera,30
mary,30
adalengeza,30
nkhwangwa,30
mkwiyo,30
chipatalachi,30
kulakwa,30
mtsikanayu,30
amaganiza,30
kugwirizana,30
yomweyi,30
zati,30
chisokonezo,30
pempho,30
livingstonia,30
chisamaliro,30
majisitireti,30
maofesi,30
apeza,30
paulimi,30
wamwalira,30
adalephera,30
oyenera,30
adzakhale,30
chiyambireni,30
adayankha,30
kubwerera,30
nayenso,30
mabungwewa,30
zikudza,30
chibwana,30
zikhale,30
zikhala,30
timothy,30
tanthauzo,30
limeneli,30
kufufuza,30
kubalasa,30
momwemo,30
chinsinsi,30
khola,30
ukhondo,30
fungo,30
mapointi,30
blessings,30
chipatalacho,30
thindwa,29
mphwiyo,29
adamuuza,29
machinjiri,29
chekucheku,29
mphatso,29
amachitira,29
trapence,29
limati,29
kafukufukuyu,29
lako,29
muja,29
ndikuona,29
amapeza,29
malemuyo,29
kholo,29
his,29
adakhudzidwa,29
support,29
kuvina,29
kalikiliki,29
msungwanayo,29
mboni,29
agwire,29
consumers,29
wasiya,29
apindule,29
olo,29
ndimachokera,29
mchitokosi,29
mpingowu,29
kufotokoza,29
gogoyu,29
makomishona,29
chimangachi,29
apita,29
kufunika,29
anamwino,29
ndinu,29
amanena,29
wadziko,29
mbc,29
zokonzekera,29
amapezeka,29
ndikunena,29
zimbudzi,29
magulupu,29
labwino,29
mpeni,29
kutsata,28
she,28
tikhala,28
robert,28
martha,28
angati,28
zamakono,28
nane,28
sadafune,28
kokha,28
eya,28
bwaloli,28
chosowa,28
edward,28
bakili,28
tidayamba,28
akewo,28
mmadzi,28
zigawo,28
adakhazikitsa,28
chingaipe,28
tikhale,28
mthumba,28
agwira,28
lidapereka,28
mwalubunju,28
aona,28
adauzidwa,28
poopa,28
yochuluka,28
akulephera,28
wotani,28
akuluakuluwa,28
akupita,28
adasiya,28
mapulaimale,28
kunthambi,28
kumeneku,28
steve,28
amapita,28
initiative,28
chisangalalo,28
ndekha,28
kusinthaku,28
akafuna,28
asirikali,28
yako,28
mwambowo,27
pakamwa,27
wodwala,27
msinkhu,27
an,27
yolimbana,27
amapanga,27
malimidwe,27
achibale,27
zofalitsa,27
chipembedzo,27
isanu,27
dzombe,27
chikhulupiliro,27
pochita,27
akuonetsa,27
mchikondi,27
guleyu,27
sam,27
maurice,27
fund,27
pachaka,27
benedicto,27
kutchulidwa,27
pamwamba,27
pamaso,27
dandaulo,27
mankhwalawo,27
sitima,27
panjira,27
mabanki,27
amayamba,27
wamba,27
imayenera,27
adapanga,27
lokhudza,27
chati,27
akuchokera,27
kuononga,27
tomato,27
kuipa,27
chidayamba,27
kusamvana,27
mandela,27
palinso,27
eagles,27
zolinga,27
athe,27
kwanu,27
strikers,27
chakuamba,27
mderali,27
kovuta,27
wopanda,27
amabwera,27
mphindi,27
front,27
okalamba,26
kaomba,26
azipita,26
adatiuza,26
nazale,26
tikupempha,26
zingati,26
mukuti,26
ndiwe,26
chimachitika,26
patangotha,26
ndimamukonda,26
kusokonekera,26
kuyendetsa,26
pamilandu,26
kuchipinda,26
mzimayi,26
kusefukira,26
ndalamayi,26
zikuchititsa,26
phoya,26
kufa,26
muunduna,26
chisilamu,26
mamembala,26
nyerere,26
osadziwa,26
mankhwalawa,26
kuphwanya,26
kubanki,26
adalembetsa,26
akugwiritsa,26
by,26
mipingo,26
achoke,26
ndimafuna,26
apezeka,26
zisudzo,26
paubwenzi,26
tione,26
if,26
zotero,26
adaonjezera,26
chokha,26
lundu,26
joni,26
mnyumbayo,26
ndidapeza,26
mmera,26
goodall,26
chiyambi,26
kuvomereza,26
sadalandire,26
kumidzi,26
patrick,26
alowa,26
mukhoza,26
woyenera,26
kusokoneza,26
omwewo,26
msonkhanowu,26
amatenga,26
adapatsidwa,26
zilipo,26
njirayi,26
mdzikomo,25
olakwa,25
pamndandanda,25
mchimake,25
taona,25
ikuyendera,25
movement,25
panja,25
timakonda,25
akafika,25
one,25
ikuyenera,25
mwansambo,25
mmisewu,25
amangoti,25
patha,25
zachinyengo,25
tikumva,25
mlauli,25
nazombe,25
ulipo,25
ndanena,25
lokoma,25
amos,25
timafuna,25
woweruza,25
mbendera,25
kazembe,25
layamba,25
achitetezo,25
katemera,25
akumuganizira,25
atsogoleriwa,25
zoipa,25
